,o_body,verdict
26,Hillary Clinton received her questions for the first presidential debate of 2016 a week in advance.,false
27,A study found that 80 percent of black men in Georgia were homosexual.,false
28,Margarine was originally manufactured to fatten turkeys.,false
29,Photograph shows hunters posing with a large cache of killed wolves.,real photograph; inaccurate description
30,Keanu Reeves lamented the objectification of women in an uncharacteristic way.,false
31,Editorial by entertainer Pat Boone criticizes President Obama for not sufficiently acknowledging America's Christian heritage.,correctly attributed
32,"Photograph shows a large mountain lion killed by a deer hunter in Kansas, Iowa, or Wisconsin.",real photographs; inaccurate description
33,President Lyndon B. Johnson sent a letter to the Smothers Brothers for making Americans laugh by mocking him on their show.,true
34,An actor whose character had been killed during a live television production suddenly got up and walked off-stage.,true
35,A Carbon Monoxide spike on the west coast indicates that a massive earthquake will soon hit.,mostly false
36,Using cruise control on wet roads or during heavy rain can cause you to lose control of your vehicle.,true
37,A father attempted to sell his toddler son on Craigslist to fund the purchase of a new Apple Watch.,false
38,"Under Obamacare, patients 76 and older must be admitted to the hospital by their primary care physicians in order to be covered by Medicare.",false
39,Video shows a 2-year-old girl who had been given the drug Ecstasy.,false.
40,A list documents the myriad reasons why people were committed to insane asylums in the 19th century.,mixture
41,Malaysia Airlines Flight 370 was captured by the U.S. Navy.,false
42,An association of pediatricians 'admitted' that HPV vaccine Gardasil causes ovarian 'failure' or cancer.,false
43,A New Zealand Woman died in Pensacola in an attempt to take an 'alligator selfie.,false
44,A celebrity guesting on a radio program once announced with bewildered amazement that the following week's featured star would be Sonny Tufts.,false
45,The U.S. Army has promoted accused Fort Hood shooter Nidal Hasan and awarded him the Legion of Merit.,false
46,President Obama is set to replace the bald eagle as the U.S.'s national animal.,false
47,New York State Judge Carolyn Walker-Diallo is Muslim and was sworn into office using a Quran.,true
48,"Donald Trump said in the good old days, protesters were harshly dealt with and carried away on stretchers.",mostly true
49,Pope Francis holds an advanced degree in chemistry.,mostly false
50,Donald Trump paid Sarah Palin $10 million for her endorsement.,false
51,The CDC and CIDRAP have admitted that Ebola is now airborne.,false
52,Beyonce has not been banned from performing in Canada based on her 2016 Super Bowl halftime performance.,false
53,"Someone once wrote a check on the side of a cow, and the bovine check was accepted and cashed by the bank.",false
54,A photograph shows Donald Trump's father posing with Chinese revolutionary Mao Zedong.,false
55,Congress is beginning impeachment hearings against President Obama.,false
56,Ed McMahon served as Johnny Carson's commanding officer in the military.,false
57,Several on-line airline ticket sites are scams used to harvest credit card numbers or cheat consumers out of their money.,undetermined.
58,Several cats have fallen ill and died from consuming Purina Cat Chow.,undetermined
59,Abraham Lincoln authored a list of maxims beginning with 'You cannot bring about prosperity by discouraging thrift.,false
60,Hanging plastic bags filled with water will repel flies.,unproven
61,"A 'day of silence' protesting the harassment of lesbian, gay, bisexual and transgender students is scheduled for 25 April 2008.",true.
62,An 'Instructions for Life' chain mail mantra was written by the Dalai Lama.,false.
63,Sweden has the highest rate of rape among European countries.,false
64,Mike Pence and 23 staff members were killed in a plane crash.,false
65,A 1955 photograph from Time magazine depicts that era's 'perfect body.,false
66,The U.S. Department of State has issued a travel advisory for the state of Texas after a family of five tested positive for Ebola.,false
67,Photograph shows roses bred to grow multi-colored petals.,real photograph; inaccurate description
68,"A stranger who stopped to change a tire on a disabled limo was rewarded for his efforts when the vehicle's passenger, Donald Trump, paid off his mortgage.",false
69,The Obama administration plans to displace thousands of Montana residents to give their land over to Native Americans.,false
70,A teen boy died of 'orgasmic shock' after masturbating 46 times in a row.,false
71,A black supporter of Donald Trump was shot and killed by protesters in Chicago.,false
72,"Ronald Reagan won the 1980 presidential election in a landslide despite trailing Jimmy Carter in public opinion polls two weeks earlier, so polls cannot be trusted to predict election results.",mixture
73,Radio talk show host Neal Boortz delivered a controversial commencement speech at Texas A&M.,false
74,Donald Trump did not have notes or note-taking paraphernalia at a G7 leaders' summit.,false
75,"The child actor who sang 'They're gonna taste great' in a Kellogg's Frosties commercial committed suicide, was murdered by bullies, or died of cancer.",false
76,The soft drink 7Up was named for the number of its ingredients.,legend
77,Black police officers are more likely to kill black people.,unproven
78,Donald Trump's presidential campaign unveiled a new logo that resembles a swastika.,false
79,Video clip shows a man flying with human bird wings.,false
80,Vladimir Putin described negotiating with Barack Obama as being like 'playing chess with a pigeon.,false
81,Photographs show wolves killed in Idaho.,false
82,Viral image shows a real panda seated next to a human being in the business class section of a jetliner.,false
83,Mylan CEO Heather Bresch donated a large sum of money to the Clinton Foundation.,mostly false
84,"Enraged father punishes 3-year-old by smashing his fingers, then commits suicide out of remorse.",false
85,Photographs show a 'new killer insect' that is able to spread a skin-altering virus when touched.,false
86,A photograph shows a kayaker paddling across a humpback whale's huge open mouth.,false
87,ABC banned on-air personnel from wearing American flag pins after 9/11.,false
88,E-mail lists senators who 'voted against making English the official language of America.,partly true.
89,President Obama demanded that an admiral stop distributing Bibles.,false
90,I Love Lucy co-star Vivian Vance was contractually obligated to remain at least 20 pounds overweight.,false.
91,Eighty percent of the Ninth Circuit Court of Appeals' decisions are overturned by the Supreme Court.,mixture
92,A viral video shows a man punching a kangaroo in the face to save his dog.,true
93,"For every forwarded copy of an e-mail received, the American Cancer Society will donate three cents to cancer research.",false.
94,"Rep. Jason Chaffetz will soon resign from the House due to pending, lurid scandals.",unproven
95,A U.S. Army soldier received a rude response after inquiring with an on-line retailer about shipments to APO addresses.,true.
96,Sheriff Joe Arpaio has been named as Donald Trump's running mate.,false
97,Taking a photograph of your ballot and posting it to the Internet is illegal or will invalidate your vote.,mixture
98,Ronald Reagan said he felt like he was shaking the President's hand when he met Donald Trump.,false
99,"During a 'Tonight Show' appearance, Jimi Hendrix proclaimed Phil Keaggy to be the greatest guitarist of all time.",false.
100,Author Homer Hickam fretted in an interview that Democratic candidates might scrap military programs and begin baking cookies for the enemy.,false.
101,"If the vial to a mercury-containing vaccine is broken, the building must be evacuated.",false
102,A video surfaced in October 2016 showing President Obama demanding 'ribs and pussy.,mostly false
103,Billionaire David Rockefeller received his sixth heart transplant at the advanced age of 99.,false
104,Feminine hygiene products are subject to sales tax in most states.,true
105,George Clooney has an open tab at Chipotle that anyone can use to get a free burrito.,false
106,"Photographs show an 8'10', 327-lb. alligator gar caught at Broken Bow Lake in Oklahoma.",real photographs; inaccurate description.
107,Contoversial pharmaceuticals trader Martin Shkreli was shot and killed.,false
108,Mexican legislators expressed concern that an Arizona law would prompt an influx of Mexicans into Sonora from Arizona.,true
109,Osama bin Laden owns Snapple.,false.
110,Jesus and His disciples are going to be portrayed as homosexual in a soon-to-be-released film.,false
111,"The Obama administration has proposed revising power guidelines that could affect eagles, but the President hasn't issued a 'kill order' allowing the slaughter of thousands of bald eagles per year.",mixture
112,A 'secretly made Israeli intelligence video recording' captures 'Bill Clinton raping a 13-year-old girl.,false
113,"Timberland is owned by the Ku Klux Klan, a situation lamented in a poem by Maya Angelou.",false
114,HealthCare.gov was developed on a no-bid contract at a cost overrun of $634 million by a Canadian company selected because they donated $47 million to the Obama campaign and employ Michelle Obama's classmate as a top executive.,mostly false
115,Applicant turned down for a college position sends the school a letter declining the rejection.,legend
116,"A patron paid the restaurant tab for seven different families and left his server a $1,500 tip at a Denny's.",unproven
117,The Ramnit worm has been stealing Facebook credentials.,true
118,Waxed apples cause cancer.,mostly false
119,Students of Sunny Oaks Elementary School in California were forced to cross dress for LGBT week.,false
120,"In August 1997, the Baltimore Orioles deliberately created a lighting malfunction before a game to keep Cal Ripken's consecutive game streak intact.",false
121,[Name of celebrity] has been summoned for jury duty in [name of town] because he or she supposedly owns property there.,false
122,Clint Eastwood said that Americans should be less concerned about offending each other and more concerned about offending god.,false
123,Vietnamese general Vo Nguyen Giap's memoirs pinned U.S. military failure in Vietnam on anti-war reporting in the American media.,false
124,Two intelligence agencies suspect that President Donald Trump's cell phone is the source of recently leaked information.,false
125,A photograph shows a sign bearing an ominous threat from the group 'Advancement of Islamic Agenda for America.,false
126,Kanye West proclaimed: 'I am the next Nelson Mandela.,false
127,The maternal death rate in Texas has spiked in recent years due to funding cuts for reproductive health clinics.,unproven
128,Police shootings kill more white Americans than black Americans.,mixture
129,Photograph shows golfers fleeing from the approach of a grizzly bear.,true.
130,Celine Dion has been killed in a crash.,false
131,'Sharpie Shock Challenge' videos show people getting shocked by their camera's flash.,unproven
132,The three winners of the $1.6 Powerball lottery have identified themselves on social media.,false
133,More people are killed by donkeys every year than die in airplane accidents.,legend
134,NASA has confirmed the Earth will experience 15 straight days of darkness.,false
135,Access to Michelle Obama's senior thesis was restricted until after the 2008 presidential election.,true.
136,"The planet Mars will make a once-in-our-lifetimes, remarkably close approach to Earth on 27 August 2016.",false
137,The FBI announced an inquiry into Russian ties between Trump's former campaign director and the Russian government.,mixture
138,"Photograph shows Brutus, a canine Medal of Honor recipient.",false.
139,A species of cephalopod known as the Pacific Northwest Tree Octopus can live on both land and water.,false
140,"Due to new laws and policies allowing transgender people to use the bathroom that matches their gender identity, a Pennsylvania man snuck into a women's restroom and took photographs of a young girl.",mostly false
141,Starbucks CEO Howard Schultz was confronted by a shareholder over the company's support for same-sex marriage.,mixture
142,A photograph shows hundreds of Christians who were burned alive by Muslims in Nigeria.,miscaptioned
143,A photograph shows several large whales feeding near a tiny boat.,false
144,Photographs show a foot injury caused by stepping on a broken CFL bulb.,undetermined
145,Donald Trump is revealing information documenting that Barack and Michelle Obama were once on the verge of divorce.,false
146,A longtime anti-gun state legislator shot a home intruder in defense of his property.,false
147,Sinclair Lewis said 'When fascism comes to America it will be wrapped in the flag and carrying a cross.,false
148,Photographs show a sandstorm in Iraq.,true.
149,"Alan Rickman stated he envisioned sitting in a rocking chair at 80, reading 'Harry Potter' books to his grandchildren.",false
150,A convicted pedophile rapist was caught using a clown costume to hide in a child's room.,false
151,A man absorbed in playing the new Pokemon Go app caused a major traffic accident.,false
152,President Trump signed an executive order naming himself winner of the popular vote.,false
153,"The week after Hurricane Katrina hit the Gulf Coast, the game show The Price Is Right aired an episode offering contestants a trip to New Orleans as a prize.",true.
154,A new Pepsi soda can design omits the words 'under God' from the Pledge of Allegiance.,false
155,Several rescued horses in the Niagara Falls area are in need of adoption.,true
156,Hillary Clinton experienced a brief seizure while speaking on-camera in June 2016.,unproven
157,Video captures a magician performing the 'greatest card trick ever.,false
158,Photograph shows a woman who suffered a severe infection after the application of henna.,mixture
159,Televangelist Kenneth Copeland says 'civil war' will unfold if Donald Trump loses the presidential election.,mostly false
160,Wal-Mart has partnered with the National Gay & Lesbian Chamber of Commerce.,"was true in 2006, but is no longer the case."
161,A gang of Muslim women beat up a French bikini-clad woman because her swimwear violated their religious beliefs.,false
162,Macy's removed SodaStream products from its stores because the products are made in disputed territory in Israel.,probably false
163,The Alanis Morissette song 'You Oughta Know' is about actor Dave Coulier from TV's Full House.,undetermined.
164,UN vehicles have been quietly positioned for action in Virginia and Kentucky as a preemptive response to imminent economic collapse.,false
165,You can receive a $100 Kohl's gift card by following three simple steps on Facebook.,false
166,A man known as 'the booty tickler' was arrested in Texas.,false
167,AriZona changed its 'Southern Style Sweet Tea' label after consumers complained that it depicted offensive images.,true.
168,"A 'cargo container full of young black women' was found in a port in Savannah, Georgia, 'about to be shipped overseas.",unproven
169,A study undertaken by the World Health Organization concluded that natural blondes are likely to be extinct within 200 years.,false
170,"Prayers are requested for Cindy Hogman, a wife and mother battling cervical cancer.",outdated
171,List reproduces various statements made by Hillary Clinton.,mixture
172,Chicken jerky treats from China are causing illness in pets.,undetermined
173,Pyrex brand glass bakeware is now manufactured from a different material and is more susceptible to breakage.,mixture:
174,Krispy Kreme outlets will be giving away free doughnuts on 3 June 2005.,true.
175,"A U.S. serviceman in uniform was refused service at the Posh Bagel in Davis, California.",false
176,Congress is 'moving to appoint Barack Obama to a third term' in 2016,false
177,Facebook revised its position on to female toplessness or nipple exposure in imagery as of May 2017.,false
178,"Parking lot carjackers are placing flyers or $100 bills on the windows of automobiles, then taking the cars when drivers step out of their vehicles to remove them.",false
179,Chrysler dealerships owned by Republican donors were disproportionately targeted for closure at the behest of the Obama administration.,false
180,Photograph shows the gravestone of actor Leslie Nielsen.,true
181,"Cosmetic companies Avon, Mary Kay and Estée Lauder have resumed testing their products on animals after previously abandoning the practice.",mixture
182,A person's fingernails and hair continue to grow after his death.,false.
183,U.S. Marine Corporal Derek Wyatt was killed in Afghanistan just before his wife gave birth to a son.,true
184,Producer Phil Spector deliberately recorded an unreleasable song called 'The Screw' in order to cheat his former partner out of royalties.,not quite.
185,"Videos show tornadoes in Cape Town, South Africa.",false
186,A video clip shows Barack Obama acknowledging that he is not a natural-born U.S. citizen.,false
187,Coca-Cola is an effective solution for eliminating head lice.,unproven
188,Patients should request the use of thyroid guards during x-ray procedures.,mixture
189,Hillary Clinton used a green screen to add fake audience members during her August 2016 speech in Nevada.,false
190,Police have officially approved a series of steps you can take to avoid criminal charges when breaking a window to save a dog or baby from a hot car.,false
191,"In a 1987 interview, special prosecutor Kenneth Starr decried 'perverts who provide the media with pornographic material.",false.
192,Osama bin Laden owns extensive gum arabic holdings.,not any more.
193,Ronald Reagan went golfing after the 1983 terrorist bombing of a U.S. Marines barrack in Beirut.,false
194,The U.S. government prohibits high mileage Volkswagen Passat automobiles from being purchased by U.S. customers.,false
195,Donald Trump's 2017 swearing-in was the most viewed presidential inauguration in history.,unproven
196,PIctures show that Dodge is offering an elephant skin interior with their new Challenger SRT Hellcat.,mostly false
197,The cremated ashes of Pringles' creator were packaged and sold to customers.,false
198,Paula Deen has been hired to host a cooking show for Fox News.,false
199,All eight Supreme Court justices penned a 'letter' saying President Trump was 'completely wrong in choosing Neil Gorsuch' to fill a vacant seat on the court.,mostly false
200,The federal holiday observed in the United States on the third Monday of February is officially designated as 'Presidents' Day.,false
201,"Pro golfer Phil Mickelson lost $200,000 wagering with his golfing partners, then tried to get out of paying up.",false.
202,The movie 'The Notebook 2' has started filming in various US cities.,false
203,"Article contrasts observances of the passings of Ed McMahon, Farrah Fawcett, and Michael Jackson.",mixture
204,A child dying of cancer wants you to send him cards so he can get into the Guinness World Book of Records.,mixture:
205,"As the Nazi Party rose to power, Hitler used the slogan 'Make Germany Great Again.",mixture
206,Hillary Clinton is (or was) a member of Monsanto's board of directors.,false
207,"American Sniper subject Chris Kyle shot dozens of looters after Hurricane Katrina, killed two attempted carjackers, and punched Jesse Ventura in the face.",mostly false
208,Australia is the first country to begin microchipping its citizens.,false
209,Stephen Colbert and Rachel Maddow are organizing a 'Fire The Fool' rally against President Trump.,mostly false
210,Photograph shows a grocery receipt for steak and lobster purchased with food stamps.,true
211,Tom Price said that it was 'better for our budget if cancer patients die more quickly.,false
212,Monica Lewinsky's son 'David' was found dead in Central Park.,false
213,Lawmakers are creating harsher criminal penalties for protesters,mixture
214,Photograph shows a moose mounting a statue of a bison.,true.
215,Images of the World Trade Center fire reveal the face of Satan.,legend
216,Lt. Col Matthew Dooley was fired from a teaching position due to complaints from Islamic groups.,mixture
217,NFL players did not stand for the national anthem until the Defense Dept. started paying the league to stage patriotic displays in 2009.,mixture
218,A clueless U.S. government official ordered half the cattle guards in Colorado be fired.,false
219,A photograph shows a frozen spider web.,false
220,A sanctuary for dogs is maintained on a 'dog island' off the coast of Florida.,false
221,Ulta Beauty will close its doors following a buyout by competitor Sephora.,false
222,"Colorado has offered free birth control for five years, leading to: a 40 percent drop in unintended pregnancy, a 42 percent drop in abortions, and millions of dollars in healthcare savings.",mostly true
223,Image shows a fourth-grade science quiz about 'Dinosaurs: Genesis and the Gospel' from a South Carolina school.,true
224,Researchers sequenced octopus genomes and discovered alien DNA.,false
225,An online coupon offers shoppers $90 off any purchase in a Food Lion grocery store.,false
226,Ted Nugent was killed in a Montana hunting accident.,false
227,"NASA admitted that they were in contact with aliens but failed to officially disclose that information, presuming everyone already knew about it.",false
228,The U.S. Drug Enforcement Agency (DEA) has classified kratom as a Schedule I substance as of 30 September 2016.,mixture
229,Residents of a North Carolina town rejected the local installation of a solar farm over fears the technology was harmful.,mixture
230,A series of photographs shows frozen waves off the coast of Nantucket.,true
231,E-mail presents Bill Brown's assessment of Barack Obama's political record.,multiple - see below.
232,Pilot of a disabled bomber goes down with the plane to comfort a gunner who is trapped in the turret.,legend
233,Michael Jordan was robbed of his shoes at gunpoint during an in-store sneaker signing appearance.,false
234,A photograph shows members of the U.S. government sitting during the recitation of the Pledge of Allegiance.,mixture
235,Brown recluse spider eggs used to fill Beanie Babies in the 1990s are finally hatching.,false
236,The film The Texas Chainsaw Massacre was based on a true story.,sort of.
237,WikiLeaks documents revealed campaign head John Podesta unflatteringly described Hillary Clinton's personal hygiene and intellect.,false
238,Actress Cindy Williams penned an editorial denouncing a proposed pay raise for the military.,incorrectly attributed
239,Photograph shows an airplane shot down by Native Americans using wooden arrows.,false
240,"The Clintons charged the Secret Service rent to house the security detail protecting their home in Chappaqua, New York.",false
241,Nylabone brand pet products are toxic and cause dogs to have seizures.,unproven
242,A recall has been issued for store-brand acetaminophen pills manufactured by Perrigo.,true.
243,"By law, a driver must surrender his vehicle to a policeman who requests its use in order to chase a fleeing suspect.",mixture
244,A woman is suing a tampon manufacturer for 'stealing' her daughter's virginity.,false
245,An ancient underground city was discovered beneath Cades Cove.,false
246,Bernie Sanders is one of the few 2016 presidential candidates (if not the only one) to pay his campaign interns.,true
247,Photograph shows a formerly ensnared whale thanking one of her rescuers.,real photograph; inaccurate description
248,"The U.S. government has purchased a stockpile of 30,000 guillotines.",false
249,Former president Bill Clinton filed for divorce from former presidential candidate Hillary Clinton in May 2017.,false
250,President Obama nominated Elena Kagan for the U.S. Supreme Court as a reward for her help in getting nine challenges to his eligibility dismissed.,false
251,Donald Trump tweeted an opinion that America never should have 'given Canada its independence.,false
252,A Colorado hunter claimed he was sexually assaulted by a Sasquatch.,false
253,Police are looking for a beating suspect named Dusty Wes Edwards.,outdated
254,President Donald Trump signed an executive order to buy all of his daughter Ivanka's Chametz.,false
255,U.S. election boards will be enforcing rules against passive electioneering on Election Day 2008.,multiple - see below.
256,Donald Trump tweeted an image of his genitals following penis-related banter at a Republican debate.,false
257,"Carl Sagan said 'if it can be destroyed by the truth, it deserves to be destroyed by the truth.",misattributed
258,Barack Obama filed a lawsuit to require banks to 'make loans to poor people.,mostly false
259,"Google donated $500,000 to the Black Lives Matter organization to fund an 'anti-police' app.",mixture
260,American intelligence has confirmed that President-elect Donald Trump was blackmailed by Russian operatives.,unproven
261,A woman was injured while trying to steal fireworks from Walmart by hiding them in her vagina.,false
262,"Sherlock Holmes said, 'Elementary, my dear Watson.",false.
263,Photograph shows sailors spelling out the words 'FUCK IRAQ' on the deck of a U.S. aircraft carrier.,false.
264,Plastic bottle caps can be redeemed to provide chemotherapy treatments to cancer sufferers or prosthetic limbs for wounded soldiers.,false
265,Newspaper publishes death notice requesting that memorial gifts for the deceased 'be made to any organization that seeks the removal of President George Bush from office.,true.
266,Photographs show a series of cranes falling into the water while attempting to retrieve a submerged automobile.,mixture of real and fake images
267,A photograph shows a homeless woman outside in the cold holding a dead baby.,mixture
268,Photographs show the aftermath of a dog vs. porcupine encounter.,true.
269,A stray pit bull saved a woman by chasing off a knife-wielding attacker.,undetermined
270,Crocodile bile is a deadly poison.,false
271,Researchers at Stanford University have found a cure for Alzheimer's disease.,mostly false
272,Photographs show a mansion belonging to Filipino senator Manny Villar.,false
273,A photograph shows a fresh water sturgeon whale under the Mackinac Bridge in Lake Huron.,false
274,A 14 August 1912 article from a New Zealand newspaper contains a brief story about how burning coal might produce future warming by adding carbon dioxide to the atmosphere.,true
275,Senator Ted Cruz went into a shouting tirade after a Hooters restaurant refused to accept his government expense account credit card.,false
276,Implementation of Dream Act guidelines will grant amnesty to illegal aliens residing in the United States if they agree to enlist in the U.S. military or enter college.,mixture
277,Pope Francis has endorsed Hillary Clinton for President.,false
278,Internet celebrity 'Damn Daniel' was mugged and robbed of his shoes.,false
279,The White House ordered a change to military funeral protocol to remove references to the President of the United States.,false
280,Facebook will donate $1 for treatment of a girl with a severely distended abdomen every time her picture is shared.,false
281,Barack Obama appropriated the Social Security number of a dead man born in 1890 and used it as his own.,false
282,"Facebook is about to close your account, citing violation of its policies.",false
283,Donald Trump was never called a racist before he started running for president.,false
284,Photograph shows a tornado sucking up a rainbow.,false
285,"People traveling to the United States under the Visa Waiver Program could be turned away due to new requirements involving biometric passports, or ePassports.",mostly true
286,President Trump sent former President Obama a bill for vacations he took with taxpayer money.,false
287,Dame Edna advised a reader against learning Spanish in her satirical Vanity Fair column.,true.
288,Boston-based history professor Heather Richardson surmised President Trump's Executive Order on immigration was a 'shock event.,correct attribution
289,"Banana Boat brand sunscreen is causing severe burns, particularly on toddlers and young children.",unproven
290,Woman calls police because a fast food outlet won't make a cheeseburger the way she wants it.,undetermined
291,"Anthony Weakfall, a 15-year-old accused of killing infant Imani Jennings, has been charged as a juvenile and therefore cannot receive a sentence of more than five years in prison.",false
292,Chick-fil-A is offering free Mother's Day lunches on 14 May 2017.,false
293,Text describes the process of producing mechanically separated chicken.,mixture of true and false information
294,Photograph depicts a woman in Saudi Arabia whose mouth and eye were sewn shut because she professed her Christian faith.,false
295,Black Lives Matter protests in Ferguson were funded by Russia or Russian interests.,unproven
296,Photograph shows an ATM sign which warns users that making faces into a security camera is a federal crime.,false
297,The Allman Brothers Band's album title Eat a Peach is a reference to Duane Allman's fatal motorcycle accident.,false
298,Adam Saleh was ejected from a Delta flight for speaking Arabic.,false
299,Statistics demonstrate that crime rates in Australia have increased substantially since the government there instituted a gun buy-back program in 1997.,false
300,Violinist Itzhak Perlman once finished a concert on an instrument with only three strings after one string broke.,false.
301,Policies that legalize recreational marijuana exacerbate America's opioid addiction epidemic.,unproven
302,Video clip shows Marc Ecko tagging Air Force One.,false.
303,Federal judge takes away from black women the right to name their children.,false.
304,Donald Trump said he'd overturn the Supreme Court's marriage equality decision if elected president.,mixture
305,Mortality rates in hospitals go up in July due to an influx of inexperienced doctors.,partly true
306,Actor Will Ferrell was killed in a paragliding accident.,false.
307,A casting call for a Latina actress to play a 'Donald Trump Executive Assistant Supporter' was posted by the republican presidential candidate.,mixture
308,Messages provide information about contributions to earthquake relief efforts in Haiti.,mixture of true and false information:
309,The removal of yellowcake uranium from Iraq in 2008 proved that Saddam Hussein had been trying to restart Iraq's nuclear program.,false.
310,Sears sold 'Free Palestine' shirts on its web site.,mostly true
311,Fox News Channel host Tucker Carlson succumbed to injuries from an automobile accident.,false
312,"Carl Sagan once speculated about the dangers of a future United States in which 'key manufacturing industries have slipped away to other countries', where people 'have lost the ability to set their own agendas or knowledgeably question those in authority' and 'no one representing the public interest can even grasp the issues'.",true
313,Meg White is replacing Rush's drummer Neil Peart.,false
314,Donald Trump gave an unprecedented order for all politically appointed ambassadors to resign immediately.,mixture
315,Radio host Dr. Laura Schlessinger stated during a broadcast that pit bulls in an animal shelter were 'taking up space' and that they should all be 'put down.,true
316,Locks of Love sells most donated hair for profit and charges ailing children exorbitant amounts for wigs.,mostly false
317,Criminal gangs in Arlington are staging medical emergencies to lure drivers out of their cars and rob them.,partly true
318,George Zimmerman is suing Trayvon Martin's parents for their failure to control their son.,false
319,A law firm working with Donald Trump was named 'Russia Law Firm of the Year.,mixture
320,The state of Texas offers free towing services to stranded motorists.,false
321,KFC has obtained a license to start selling marijuana in their Colorado restaurants.,false
322,A list cites instances proving voter fraud in the 2012 U.S. presidential election.,false
323,President Obama trademarked the name 'Obamacare' and receives royalties every time the term is used.,false
324,Celebrity Cruise lines released an ad saying that Donald Trump's supporters were no longer welcome on their ships.,mostly false
325,New York state has legalized heroin.,false
326,"643,000 Americans declare bankruptcy over medical bills every year.",mixture
327,"The European Scientific Journal, a peer-reviewed academic publication, concluded that the collapse of the Twin Towers and World Trade Center Building 7 on 11 September 2001 was the result of a controlled demolition.",false
328,TSA confiscated nail clippers from a U.S. soldier returning from Afghanistan on a flight full of armed soldiers.,probably false
329,Photograph shows a newly-discovered snake species known as the Texas Bonnet Rattlesnake.,false
330,The artificial sweetener aspartame was originally developed as an ant poison.,false
331,Hillary Clinton and moderator Lester Holt rigged the first presidential debate by communicating via secret hand signals.,false
332,Video clip shows a woman discussing why California is the best state for obtaining public assistance benefits.,mixture
333,Thomas Jefferson sent the U.S. Navy to subdue Barbary pirates in the Mediterranean.,true.
334,Michelle Obama deleted all mentions of Hillary Clinton from her Twitter accounts.,false
335,"By default, all U.S. federal income tax refunds paid in 2010 will be issued in the form of U.S. savings bonds.",false
336,Photograph shows a house painted in protest by its owner after he was barred from displaying a U.S. flag in his yard.,real photograph; inaccurate description
337,Ivanka Trump said that she would 'mace' her 'father' during an appearance on a talk show.,false
338,Umpqua Community College was a gun-free zone when nine people were fatally shot there in October 2015.,mixture
339,"Photographs show Yomi Kim Hunter, a Korean-American voted the 'prettiest man in Asia.",false
340,"Message describes the Hoyts, a father and disabled son who participate as a team in marathons.",true
341,A video shows an 'army-style Muslim migrants' marching in Germany to show their 'willingness to fight.,false
342,"If you swipe a chipped card debit/credit at a point-of-sale terminal instead of inserting it into the reader, you become liable for any fraudulent transactions.",false
343,Georgia recently became the first U.S. state to 'ban Muslim culture.,false
344,Republican presidential candidate Donald Trump leaked classified information about a U.S. military base in Saudi Arabia after receiving his first national security intelligence briefing.,false
345,"Taxpayers paid more than $40,000 for Sasha and Malia Obama's state dinner dresses.",mixture
346,Dynamic Pet Products Real Ham Bone have caused several dogs to fall ill and die.,unproven
347,Actor (and former California governor) Arnold Schwarzenegger has passed away of a heart attack.,false
348,James Carville said that 'the Democratic constituency is just like a herd of cows.,undetermined
349,The larva of a human botfly was removed from a child's eye.,true.
350,Item documents contradictory statements Barack Obama made about the killing of Osama bin Laden.,false
